num	x1	x2	x3	mean	sex	levers
201501	93	76	78	82.3	Å®	B
201502	96	71	73	80	Å®	B
201503	96	73	92	87	Å®	A
201504	93	74	73	80	Å®	B
201505	92	90	73	85	Å®	A
201506	88	83	92	87.7	Å®	A
201507	96	72	93	87	Å®	A
201508	86	79	97	87.3	Å®	A
201509	89	88	69	82	Å®	B
201510	91	79	76	82	Å®	B
201511	96	69	80	81.7	Å®	B
201512	95	76	79	83.3	Å®	B
201513	86	73	88	82.3	Å®	B
201514	81	79	93	84.3	Å®	B
201515	82	85	78	81.7	Å®	B
201516	93	85	71	83	Å®	B
201517	81	84	88	84.3	Å®	B
201518	81	86	92	86.3	Å®	A
201519	86	80	91	85.7	Å®	A
201520	89	78	96	87.7	Å®	A
201521	89	80	92	87	Å®	A
201522	84	74	93	83.7	Å®	B
201523	97	66	89	84	Å®	B
201524	84	73	82	79.7	ÄÐ	C
201525	89	72	80	80.3	ÄÐ	B
201526	83	77	75	78.3	ÄÐ	C
201527	96	77	70	81	ÄÐ	B
201528	93	79	81	84.3	ÄÐ	B
201529	100	90	81	90.3	ÄÐ	A
201530	84	63	87	78	ÄÐ	C
201531	81	72	62	71.7	ÄÐ	C
201532	88	85	75	82.7	ÄÐ	B
201533	99	82	92	91	ÄÐ	A
201534	84	89	80	84.3	ÄÐ	B
201535	95	97	86	92.7	ÄÐ	A
201536	85	82	90	85.7	ÄÐ	A
201537	89	83	85	85.7	ÄÐ	A
201538	83	78	100	87	ÄÐ	A
201539	91	83	79	84.3	ÄÐ	B
201540	93	81	92	88.7	ÄÐ	A
201541	91	76	75	80.7	ÄÐ	B
201542	97	84	94	91.7	ÄÐ	A
201543	84	78	80	80.7	ÄÐ	B
201544	88	82	100	90	ÄÐ	A
201545	81	79	72	77.3	ÄÐ	C
201546	89	81	85	85	ÄÐ	A
201547	87	74	82	81	ÄÐ	B
201548	89	84	79	84	ÄÐ	B
201549	89	85	75	83	ÄÐ	B
201550	94	79	89	87.3	ÄÐ	A
201551	88	81	100	89.7	ÄÐ	A
201552	91	97	53	80.3	ÄÐ	B
201553	94	91	76	87	ÄÐ	A
201554	95	76	75	82	ÄÐ	B
201555	87	76	71	78	ÄÐ	C
201556	95	86	90	90.3	ÄÐ	A
201557	89	78	88	85	ÄÐ	A
201558	81	80	83	81.3	ÄÐ	B
201559	91	78	71	80	ÄÐ	B
201560	98	76	79	84.3	ÄÐ	B
