²âµã±àºÅ,F,ÆøÑ¹,lg,log100
1,194.5,20.79,1.3179,131.79
2,194.3,20.79,1.3179,131.79
3,197.9,22.4,1.3502,135.02
4,198.4,22.67,1.3555,135.55
5,199.9,23.15,1.3646,136.46
6,200.9,23.35,1.3683,136.83
7,201.1,23.89,1.3782,137.82
8,201.4,23.99,1.38,138
9,201.3,24.02,1.3805,138.05
10,203.6,24.01,1.3806,138.06
11,204.6,25.14,1.4004,140.04
12,204.6,26.57,1.4244,142.44
13,209.5,28.49,1.4547,145.47
14,208.6,27.76,1.4434,144.34
15,210.7,29.04,1.463,146.3
16,211.9,29.88,1.4754,147.54
17,212.2,30.06,1.478,147.8
