,one,two,three
0,21.0,23.0,19.0
1,23.0,21.0,23.0
2,19.0,21.0,23.0
3,23.0,22.0,21.0
4,21.0,,
5,25.0,24.0,22.0
6,20.0,22.0,19.0
7,23.0,23.0,24.0
8,21.0,18.0,19.0
9,21.0,18.0,19.0
10,23.0,25.0,20.0
11,22.0,23.0,
12,23.0,22.0,18.0
13,23.0,22.0,18.0
14,24.0,25.0,16.0
15,17.0,,
16,22.0,21.0,23.0
17,25.0,23.0,24.0
18,19.0,22.0,24.0
19,25.0,24.0,22.0
20,26.0,26.0,27.0
21,24.0,23.0,26.0
22,20.0,19.0,22.0
23,21.0,20.0,19.0
24,22.0,21.0,24.0
25,19.0,20.0,22.0
26,18.0,22.0,22.0
27,25.0,26.0,24.0
28,24.0,24.0,22.0
29,24.0,24.0,22.0
30,21.0,21.0,23.0
31,20.0,25.0,20.0
32,25.0,23.0,22.0
33,28.0,29.0,23.0
34,20.0,21.0,21.0
35,25.0,24.0,23.0
36,21.0,26.0,29.0
37,22.0,20.0,23.0
38,23.0,22.0,24.0
39,22.0,19.0,21.0
40,23.0,21.0,25.0
41,23.0,20.0,23.0
42,23.0,22.0,23.0
43,22.0,22.0,20.0
44,20.0,23.0,22.0
45,25.0,19.0,22.0
46,22.0,20.0,22.0
47,18.0,20.0,18.0
48,21.0,22.0,20.0
49,24.0,22.0,20.0
50,25.0,23.0,
51,23.0,22.0,21.0
52,23.0,26.0,18.0
53,25.0,26.0,23.0
54,23.0,21.0,21.0
55,22.0,23.0,18.0
56,21.0,26.0,22.0
57,25.0,25.0,24.0
58,22.0,25.0,25.0
59,23.0,21.0,20.0
60,24.0,21.0,19.0
61,28.0,20.0,22.0
62,222.0,24.0,23.0
63,27.0,26.0,19.0
64,25.0,22.0,21.0
65,23.0,26.0,20.0
66,21.0,20.0,25.0
67,23.0,20.0,20.0
68,21.0,23.0,22.0
69,19.0,22.0,23.0
70,27.0,19.0,23.0
71,29.0,27.0,26.0
72,25.0,26.0,27.0
73,21.0,28.0,23.0
74,24.0,24.0,25.0
75,20.0,18.0,16.0
76,26.0,,
77,14.0,,
78,20.0,19.0,20.0
79,19.0,21.0,20.0
80,16.0,19.0,
81,20.0,18.0,24.0
82,22.0,,
83,19.0,18.0,16.0
84,22.0,20.0,22.0
85,22.0,,
86,24.0,22.0,24.0
87,19.0,18.0,19.0
88,20.0,18.0,
89,19.0,22.0,18.0
90,20.0,,
91,16.0,19.0,16.0
92,18.0,20.0,22.0
93,16.0,,
94,18.0,20.0,22.0
95,16.0,14.0,
96,22.0,20.0,21.0
97,19.0,27.0,23.0
98,,,23.0
99,,,27.0
