,one,two,three
0,12.0,11.0,9.5
1,10.8,9.2,9.5
2,11.5,9.0,9.5
3,11.0,11.2,9.0
4,7.5,,
5,10.5,10.0,10.2
6,9.5,10.5,9.5
7,9.2,14.0,13.0
8,8.0,9.5,9.5
9,10.0,9.0,9.5
10,9.0,10.0,8.9
11,8.5,10.0,
12,10.0,7.5,10.2
13,11.0,11.0,10.5
14,11.1,9.0,9.5
15,8.0,,
16,10.0,10.5,11.5
17,9.0,9.0,14.0
18,10.0,10.0,12.0
19,11.5,11.0,10.0
20,12.5,12.5,11.9
21,8.5,11.5,11.0
22,10.2,7.5,9.0
23,10.0,10.0,9.5
24,11.0,11.0,12.5
25,8.0,7.3,8.2
26,7.7,7.3,7.8
27,11.1,9.9,11.1
28,11.7,10.9,11.9
29,11.3,11.7,11.4
30,11.4,10.5,11.2
31,10.9,7.2,11.1
32,10.6,10.4,10.3
33,12.7,11.7,13.3
34,11.8,11.9,11.3
35,13.2,10.2,10.1
36,9.2,11.8,11.6
37,9.4,9.6,9.1
38,12.3,11.5,11.1
39,11.2,9.7,11.6
40,10.5,8.2,10.6
41,10.8,9.8,10.4
42,11.5,10.2,11.8
43,10.7,9.8,9.7
44,12.4,12.8,11.8
45,9.2,11.2,11.6
46,9.8,9.1,9.4
47,8.3,7.5,8.2
48,11.4,12.3,11.8
49,12.0,11.0,9.8
50,11.3,11.4,
51,10.4,9.6,11.8
52,9.6,8.7,10.2
53,9.4,9.5,8.4
54,9.2,12.5,8.6
55,10.3,11.0,10.4
56,11.2,10.6,10.1
57,12.9,14.6,16.2
58,10.9,12.2,11.4
59,9.8,9.5,8.5
60,9.3,9.1,8.6
61,10.8,10.6,11.2
62,9.2,9.4,10.3
63,11.1,10.6,11.9
64,13.2,14.3,14.2
65,11.1,9.4,11.4
66,8.9,9.6,8.0
67,11.0,10.9,4.7
68,10.6,9.5,10.2
69,12.0,11.9,11.5
70,11.2,11.1,10.2
71,16.6,16.0,17.0
72,10.4,9.5,9.6
73,4.7,12.7,13.6
74,12.4,12.5,13.0
75,11.51,9.39,11.25
76,14.68,,
77,9.34,,
78,12.2,13.95,11.75
79,11.04,12.02,13.55
80,8.2,9.8,
81,8.5,7.06,10.2
82,9.6,,
83,7.62,8.91,8.71
84,13.0,11.81,12.41
85,11.6,,
86,13.5,12.0,15.8
87,7.2,7.0,8.6
88,12.1,9.9,
89,9.5,11.7,10.0
90,9.2,,
91,8.2,10.2,7.8
92,9.5,10.9,10.9
93,8.0,,
94,7.4,6.3,11.5
95,8.8,6.1,
96,10.4,9.5,9.4
97,10.0,13.5,10.4
98,,,12.4
99,,,15.2
