小区,height,length,count,赤霉病发病情况,赤霉病发病等级
1,107.5,12,21,,4
,107,11,23,,3
,107,9.5,19,,4
,,,,,4
,,,,,4
,,,,,2
2,102,10.8,23,,2
,103,9.2,21,,3
,112,9.5,23,,2
,,,,,3
,,,,,2
,,,,,3
3,94,11.5,19,,4
,105,9,21,,4
,98.5,9.5,23,,4
,,,,,4
,,,,,4
,,,,,4
4,107,11,23,,4
,105,11.2,22,,4
,109,9,21,,4
,,,,,4
,,,,,4
,,,,,4
5,112,7.5,21,,3
,,,,,4
,,,,,
,21XYT005只有一株长成,,,,
,,,,,
,,,,,
6,114.5,10.5,25,,1
,123,10,24,,2
,124.8,10.2,22,,3
,,,,,4
,,,,,4
,,,,,4
7,118.5,9.5,20,,1
,117,10.5,22,,0
,117,9.5,19,,4
,,,,,2
,,,,,3
,,,,,3
8,113,9.2,23,,2
,124,14,23,,4
,121,13,24,,0
,,,,,0
,,,,,4
,,,,,4
9,135,8,21,,0
,136.5,9.5,18,,2
,135,9.5,19,,4
,,,,,4
,,,,,1
,,,,,2
10,133,10,21,,1
,135.5,9,18,,1
,137.5,9.5,19,,4
,,,,,1
,,,,,3
,,,,,2
11,128,9,23,,3
,132,10,25,,4
,123.9,8.9,20,,2
,,,,,2
,,,,,2
,,,,,2
12,117,8.5,22,,4
,121,10,23,,4
,,,,,4
,21XYT012只有两株长成,,,,3
,,,,,
,,,,,
13,119,10,23,,2
,125,7.5,22,,2
,109.8,10.2,18,,4
,,,,,3
,,,,,4
,,,,,4
14,82,11,23,,2
,82,11,22,,2
,88,10.5,18,,4
,,,,,3
,,,,,4
,,,,,4
15,83.7,11.1,24,,3
,86.5,9,25,,4
,92.5,9.5,16,,4
,,,,,4
,,,,,4
,,,,,4
16,64,8,17,,4
,,,,,4
,,,,,
,21XYT016只有一株长成,,,,
,,,,,
,,,,,
17,97,10,22,,3
,110,10.5,21,,4
,88.5,11.5,23,,4
,,,,,4
,,,,,3
,,,,,4
18,97,9,25,,3
,90,9,23,,4
,101,14,24,,4
,,,,,4
,,,,,4
,,,,,4
19,105,10,19,,3
,104,10,22,,4
,100,12,24,,2
,,,,,3
,,,,,4
,,,,,4
20,132,11.5,25,,1
,135.5,11,24,,0
,132,10,22,,2
,,,,,0
,,,,,1
,,,,,1
21,93,12.5,26,,1
,99,12.5,26,,2
,101.3,11.9,27,,3
,,,,,4
,,,,,4
,,,,,3
22,89.1,8.5,24,,3
,93,11.5,23,,3
,111,11,26,,4
,,,,,4
,,,,,4
,,,,,4
23,126,10.2,20,,4
,128,7.5,19,,4
,113,9,22,,4
,,,,,4
,,,,,4
,,,,,4
24,80,10,21,,4
,90,10,20,,4
,89,9.5,19,,3
,,,,,4
,,,,,2
,,,,,4
25,108,11,22,,2
,112,11,21,,3
,110.4,12.5,24,,1
,,,,,1
,,,,,1
,,,,,1
26,62,8,19,19/19,4
,63,7.3,20,20/20,4
,65,8.2,22,20/22,4
,,,,19/19,4
,,,,13/19,3
,,,,,
27,80,7.7,18,18/18,4
,85,7.3,22,22/22,4
,78,7.8,22,22/22,4
,,,23,19/23,4
,,,21,19/21,4
,,,,,
28,100,11.1,25,19/25,3
,103,9.9,26,17/26,3
,97,11.1,24,13/24,3
,,,,16/25,3
,,,,16/24,3
,,,,,
29,117,11.7,24,12/24,2
,125,10.9,24,17/24,3
,124,11.9,22,12/22,3
,,,,20/25,3
,,,,19/26,3
,,,,,
30,95,11.3,24,2/24,1
,100,11.7,24,24/28,4
,92,11.4,22,20/26,3
,,,,21/24,4
,,,,25/26,4
,,,,,
31,125,11.4,21,2/21,1
,128,10.5,21,14/21,3
,130,11.2,23,11/23,2
,,,,8/22,2
,,,,13/20,3
,,,,,
32,110,10.9,20,20/20,4
,113,7.2,25,25/25,4
,112,11.1,20,20/20,4
,,,,17/19,4
,,,,11/19,3
,,,,,
33,67,10.6,25,20/25,3
,70,10.4,23,19/23,4
,71,10.3,22,11/22,3
,,,,16/24,3
,,,,17/21,4
,,,,,
34,121,12.7,28,13/28,2
,126,11.7,29,20/29,3
,172,13.3,23,18/23,4
,,,,22/25,4
,,,,20/27,3
,,,,,
35,97,11.8,20,5/20,2
,90,11.9,21,15/21,3
,106,11.3,21,15/21,3
